dataset_group,file_name,structure_name,metal_guess,redox_state_guess,monomer_guess,ts_label_guess,atom_index,element,atom_role,notes,x,y,z
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,8,C,ferrocene_C,,-0.073148,-2.471271,-1.105829
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,9,C,ferrocene_C,,-0.04132,-3.63435,-0.258461
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,10,C,ferrocene_C,,-1.157002,-4.462363,-0.601686
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,11,C,ferrocene_C,,-1.933467,-3.777909,-1.587668
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,6,Fe,ferrocene_Fe,,-1.836462,-2.678553,0.118352
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,44,Ti,metal_center,,1.546037,2.258472,0.321429
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,12,O,phenoxy_O,,2.102444,0.883285,-0.789127
catalysts,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,,,19,O,phenoxy_O,,-0.283314,2.197043,0.262017
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,12,O,alkoxide_O,,0.589228,-2.538621,1.896598
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,28,O,alkoxide_O,,-0.626261,0.002126,2.274811
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,41,N,donor_N,,1.842862,-0.008618,1.006621
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,42,N,donor_N,,-1.228055,0.163529,-0.681659
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,1,C,ferrocene_C,,2.447478,2.170001,-0.198789
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,2,C,ferrocene_C,,1.864935,1.421812,0.877824
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,3,C,ferrocene_C,,1.353771,2.341519,1.849484
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,4,C,ferrocene_C,,1.649851,3.667181,1.387424
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,5,C,ferrocene_C,,2.321655,3.561636,0.124689
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,7,C,ferrocene_C,,-0.44437,2.358075,-1.738643
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,8,C,ferrocene_C,,-1.040145,1.577485,-0.691357
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,9,C,ferrocene_C,,-1.503402,2.465727,0.332368
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,10,C,ferrocene_C,,-1.205235,3.802218,-0.088297
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,11,C,ferrocene_C,,-0.543358,3.737439,-1.360221
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,6,Fe,ferrocene_Fe,,0.492745,2.691359,0.039372
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,46,Ti,metal_center,,-0.194719,-1.212096,0.939394
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,14,O,phenoxy_O,,-1.880856,-2.02622,0.675411
catalysts,Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,,,21,O,phenoxy_O,,0.736931,-1.68394,-0.74361
catalysts,Ti-salfan-star-red.out,Ti-salfan-star-red,Ti,red,,,12,O,alkoxide_O,,-0.547282,-2.607944,-1.162981
catalysts,Ti-salfan-star-red.out,Ti-salfan-star-red,Ti,red,,,28,O,alkoxide_O,,0.891902,-0.154487,-1.799103
